# Matbench Discovery leaderboard snapshot (visited 2026-09-09)
# URL: https://matbench-discovery.materialsproject.org/
# Metric: CPS (Combined Performance Score) = F1 50% + kappa_SRME 40% + RMSD 10%
# Columns: rank, model, CPS, Acc, F1, DAF, Prec, MAE, R2, kappaSRME, RMSD, CMDS, CDS, Params, Targets, DateAdded, rcut, TrainingSet

1,TECE-OAM-RRA-1.0,0.908,0.978,0.929,6.073,0.928,0.018,0.871,0.093,0.058,0.630,0.270,222M,EFSG,2026-07-05,6A,"6.6M(113M) MPtrj+OMat24+sAlex"
2,EquFlashV2,0.907,0.978,0.929,6.069,0.928,0.018,0.873,0.094,0.058,n/a,n/a,44.9M,EFSG,2026-06-11,6A,"6.6M(113M) MPtrj+OMat24+sAlex"
3,EquiformerV3+DeNS-OAM,0.902,0.978,0.931,6.074,0.928,0.018,0.868,0.118,0.059,n/a,n/a,30.3M,EFSG,2026-04-07,6A,"6.6M(113M) MPtrj+OMat24+sAlex"
4,GRACE-3L-OAM-L,0.900,0.977,0.925,6.041,0.923,0.018,0.875,0.121,0.058,0.739,0.699,42.1M,EFSG,2026-07-02,6A,"6.6M(113M) MPtrj+OMat24+sAlex"
5,PET-OAM-XL,0.898,0.977,0.924,6.075,0.929,0.019,0.864,0.119,0.060,0.634,0.388,730M,EFSG,2026-01-10,n/a,"6.6M(113M) MPtrj+OMat24+sAlex"
6,TACE-OAM-L,0.889,0.972,0.910,5.898,0.902,0.020,0.868,0.126,0.061,0.728,0.761,82.9M,EFSG,2026-04-09,6A,"6.6M(113M) MPtrj+OMat24+sAlex"
7,eSEN-30M-OAM,0.888,0.977,0.925,6.069,0.928,0.018,0.866,0.170,0.061,0.625,0.648,30.2M,EFSG,2025-03-17,6A,"6.6M(113M) MPtrj+OMat24+sAlex"
8,EquFlash,0.888,0.975,0.919,5.983,0.915,0.019,0.871,0.158,0.060,n/a,n/a,28.7M,EFSG,2025-06-23,6A,"6.6M(113M) MPtrj+OMat24+sAlex"
9,Nequip-OAM-XL,0.886,0.971,0.906,5.869,0.897,0.020,0.872,0.125,0.063,0.623,0.796,32.1M,EFSG,2025-11-30,6A,"6.6M(113M) MPtrj+OMat24+sAlex"
10,MatRIS-10M-OAM,0.877,0.976,0.921,6.039,0.923,0.019,0.871,0.218,0.060,0.581,0.678,10.4M,EFSGM,2025-10-29,6A,"6.6M(113M) MPtrj+OMat24+sAlex"
