model,material,structure,property,unit,predicted,reference,rel_err,rel_err_pct
chgnet,Ag,fcc,a0,Angstrom,4.155999945,4.149,0.00168714,0.1687
chgnet,Ag,fcc,B0,GPa,78.72059251,110.9,-0.290166,-29.0166
chgnet,Ag,fcc,B0_prime,dimensionless,8.291886704,5.7,0.454717,45.4717
chgnet,Ag,fcc,vacancy_formation_energy,eV,0.493085508,0.68,-0.274874,-27.4874
chgnet,Ag,fcc,gamma_100,J/m^2,0.5578058655,0.81,-0.311351,-31.1351
chgnet,Ag,fcc,gamma_110,J/m^2,0.6253357239,0.866,-0.277903,-27.7903
chgnet,Ag,fcc,gamma_111,J/m^2,0.4827768,0.773,-0.37545,-37.5450
chgnet,Ag,fcc,stacking_fault_energy,mJ/m^2,18.44379679,17.26,0.0685861,6.8586
chgnet,Ag,fcc,cohesive_energy,eV/atom,2.282874637,,,
chgnet,Al,fcc,a0,Angstrom,4.041377246,4.041,9.33547e-05,0.0093
chgnet,Al,fcc,B0,GPa,54.18774711,79.4,-0.317535,-31.7535
chgnet,Al,fcc,B0_prime,dimensionless,20.18568398,4.16,3.85233,385.2328
chgnet,Al,fcc,vacancy_formation_energy,eV,0.137155886,0.61,-0.775154,-77.5154
chgnet,Al,fcc,gamma_100,J/m^2,0.4774579542,0.915,-0.478188,-47.8188
chgnet,Al,fcc,gamma_110,J/m^2,0.5168764697,0.977,-0.470956,-47.0956
chgnet,Al,fcc,gamma_111,J/m^2,0.3731933695,0.795,-0.530574,-53.0574
chgnet,Al,fcc,stacking_fault_energy,mJ/m^2,8.209839315,117.54,-0.930153,-93.0153
chgnet,Al,fcc,cohesive_energy,eV/atom,3.233062349,,,
chgnet,Au,fcc,a0,Angstrom,4.169836308,4.157,0.00308788,0.3088
chgnet,Au,fcc,B0,GPa,123.2609421,180.9,-0.318624,-31.8624
chgnet,Au,fcc,B0_prime,dimensionless,8.352663342,5.47,0.526995,52.6995
chgnet,Au,fcc,vacancy_formation_energy,eV,0.3000208537,0.4,-0.249948,-24.9948
chgnet,Au,fcc,gamma_100,J/m^2,0.4238192947,0.861,-0.507759,-50.7759
chgnet,Au,fcc,gamma_110,J/m^2,0.4459559307,0.827,-0.460755,-46.0755
chgnet,Au,fcc,gamma_111,J/m^2,0.3550144726,0.742,-0.521544,-52.1544
chgnet,Au,fcc,stacking_fault_energy,mJ/m^2,17.51794921,32.69,-0.464119,-46.4119
chgnet,Au,fcc,cohesive_energy,eV/atom,2.352992397,,,
chgnet,Ca,fcc,a0,Angstrom,5.526285504,5.527,-0.000129274,-0.0129
chgnet,Ca,fcc,B0,GPa,16.99046708,18.4,-0.076605,-7.6605
chgnet,Ca,fcc,B0_prime,dimensionless,0.6392768684,,,
chgnet,Ca,fcc,vacancy_formation_energy,eV,0.7508121067,1.13,-0.335565,-33.5565
chgnet,Ca,fcc,gamma_100,J/m^2,0.3608239421,0.458,-0.212175,-21.2175
chgnet,Ca,fcc,gamma_110,J/m^2,0.4018018891,0.542,-0.258668,-25.8668
chgnet,Ca,fcc,gamma_111,J/m^2,0.295919772,0.461,-0.358092,-35.8092
chgnet,Ca,fcc,stacking_fault_energy,mJ/m^2,0,,,
chgnet,Ca,fcc,cohesive_energy,eV/atom,1.933348785,,,
chgnet,Cu,fcc,a0,Angstrom,3.615913564,3.631,-0.0041549,-0.4155
chgnet,Cu,fcc,B0,GPa,155.236076,142.3,0.0909071,9.0907
chgnet,Cu,fcc,B0_prime,dimensionless,4.201325258,4.91,-0.144333,-14.4333
chgnet,Cu,fcc,vacancy_formation_energy,eV,0.7122497559,1.07,-0.334346,-33.4346
chgnet,Cu,fcc,gamma_100,J/m^2,1.017851865,1.468,-0.30664,-30.6640
chgnet,Cu,fcc,gamma_110,J/m^2,1.124549547,1.561,-0.279597,-27.9597
chgnet,Cu,fcc,gamma_111,J/m^2,0.8358080603,1.314,-0.363921,-36.3921
chgnet,Cu,fcc,stacking_fault_energy,mJ/m^2,-28.48873367,47.45,-1.60039,-160.0395
chgnet,Cu,fcc,cohesive_energy,eV/atom,3.433901253,,,
chgnet,Ni,fcc,a0,Angstrom,3.503533153,3.518,-0.00411224,-0.4112
chgnet,Ni,fcc,B0,GPa,206.3216216,187.6,0.0997954,9.9795
chgnet,Ni,fcc,B0_prime,dimensionless,4.659462094,4.83,-0.0353081,-3.5308
chgnet,Ni,fcc,vacancy_formation_energy,eV,1.227378563,1.39,-0.116994,-11.6994
chgnet,Ni,fcc,gamma_100,J/m^2,1.95226261,2.208,-0.115823,-11.5823
chgnet,Ni,fcc,gamma_110,J/m^2,2.064724698,2.286,-0.0967958,-9.6796
chgnet,Ni,fcc,gamma_111,J/m^2,1.721050375,1.924,-0.105483,-10.5483
chgnet,Ni,fcc,stacking_fault_energy,mJ/m^2,22.14693625,153.56,-0.855777,-85.5777
chgnet,Ni,fcc,cohesive_energy,eV/atom,4.431217046,,,
chgnet,Pd,fcc,a0,Angstrom,3.951312676,3.942,0.00236242,0.2362
chgnet,Pd,fcc,B0,GPa,158.2891985,195,-0.188261,-18.8261
chgnet,Pd,fcc,B0_prime,dimensionless,4.337102215,,,
chgnet,Pd,fcc,vacancy_formation_energy,eV,0.8659447564,1.16,-0.253496,-25.3496
chgnet,Pd,fcc,gamma_100,J/m^2,1.102696567,1.526,-0.277394,-27.7394
chgnet,Pd,fcc,gamma_110,J/m^2,1.205175047,1.574,-0.234323,-23.4323
chgnet,Pd,fcc,gamma_111,J/m^2,0.956084248,1.338,-0.285438,-28.5438
chgnet,Pd,fcc,stacking_fault_energy,mJ/m^2,5.351909328,139.5,-0.961635,-96.1635
chgnet,Pd,fcc,cohesive_energy,eV/atom,3.558817462,,,
chgnet,Pt,fcc,a0,Angstrom,3.974413523,3.97,0.00111172,0.1112
chgnet,Pt,fcc,B0,GPa,237.2359328,277,-0.143553,-14.3553
chgnet,Pt,fcc,B0_prime,dimensionless,4.512948862,4.83,-0.0656421,-6.5642
chgnet,Pt,fcc,vacancy_formation_energy,eV,0.7975859465,0.61,0.307518,30.7518
chgnet,Pt,fcc,gamma_100,J/m^2,1.280807466,1.842,-0.304665,-30.4665
chgnet,Pt,fcc,gamma_110,J/m^2,1.347015916,1.681,-0.198682,-19.8682
chgnet,Pt,fcc,gamma_111,J/m^2,1.08482655,1.479,-0.266513,-26.6513
chgnet,Pt,fcc,stacking_fault_energy,mJ/m^2,20.28381259,307.97,-0.934137,-93.4137
chgnet,Pt,fcc,cohesive_energy,eV/atom,5.162232118,,,
chgnet,Sr,fcc,a0,Angstrom,6.035362485,6.02,0.00255191,0.2552
chgnet,Sr,fcc,B0,GPa,11.3749498,12.4,-0.0826653,-8.2665
chgnet,Sr,fcc,B0_prime,dimensionless,7.914374341,,,
chgnet,Sr,fcc,vacancy_formation_energy,eV,0.5630374485,0.95,-0.407329,-40.7329
chgnet,Sr,fcc,gamma_100,J/m^2,0.2250840487,0.347,-0.351343,-35.1343
chgnet,Sr,fcc,gamma_110,J/m^2,0.2495201264,0.407,-0.386928,-38.6928
chgnet,Sr,fcc,gamma_111,J/m^2,0.1747982773,0.342,-0.488894,-48.8894
chgnet,Sr,fcc,stacking_fault_energy,mJ/m^2,-0.001937461682,,,
chgnet,Sr,fcc,cohesive_energy,eV/atom,1.677980696,,,
chgnet,Cr,bcc,a0,Angstrom,2.859716933,2.862,-0.000797717,-0.0798
chgnet,Cr,bcc,B0,GPa,234.228873,160,0.46393,46.3930
chgnet,Cr,bcc,B0_prime,dimensionless,10.02883764,4.934,1.0326,103.2598
chgnet,Cr,bcc,vacancy_formation_energy,eV,1.598276774,3.0093,-0.468888,-46.8888
chgnet,Cr,bcc,gamma_100,J/m^2,2.692726573,3.632,-0.258611,-25.8611
chgnet,Cr,bcc,gamma_110,J/m^2,2.405587588,3.201,-0.248489,-24.8489
chgnet,Cr,bcc,cohesive_energy,eV/atom,4.08693577,,,
chgnet,Fe,bcc,a0,Angstrom,2.845141552,2.831,0.00499525,0.4995
chgnet,Fe,bcc,B0,GPa,88.82291933,173,-0.486573,-48.6573
chgnet,Fe,bcc,B0_prime,dimensionless,6.467786795,,,
chgnet,Fe,bcc,vacancy_formation_energy,eV,0.833690502,2.1914,-0.619563,-61.9563
chgnet,Fe,bcc,gamma_100,J/m^2,1.538647697,2.499,-0.384295,-38.4295
chgnet,Fe,bcc,gamma_110,J/m^2,1.160537853,2.447,-0.52573,-52.5730
chgnet,Fe,bcc,cohesive_energy,eV/atom,4.786731153,,,
chgnet,Mo,bcc,a0,Angstrom,3.168026614,3.161,0.00222291,0.2223
chgnet,Mo,bcc,B0,GPa,285.0842336,265.3,0.0745731,7.4573
chgnet,Mo,bcc,B0_prime,dimensionless,6.194657862,3.34,0.854688,85.4688
chgnet,Mo,bcc,vacancy_formation_energy,eV,1.668840196,2.7955,-0.403026,-40.3026
chgnet,Mo,bcc,gamma_100,J/m^2,2.318521185,3.182,-0.271364,-27.1364
chgnet,Mo,bcc,gamma_110,J/m^2,1.931628242,2.797,-0.309393,-30.9393
chgnet,Mo,bcc,cohesive_energy,eV/atom,6.132847012,,,
chgnet,Nb,bcc,a0,Angstrom,3.329558239,3.31,0.00590883,0.5909
chgnet,Nb,bcc,B0,GPa,144.5101194,174,-0.169482,-16.9482
chgnet,Nb,bcc,B0_prime,dimensionless,2.223959588,,,
chgnet,Nb,bcc,vacancy_formation_energy,eV,1.479570177,2.6589,-0.44354,-44.3540
chgnet,Nb,bcc,gamma_100,J/m^2,1.945667339,2.275,-0.144762,-14.4762
chgnet,Nb,bcc,gamma_110,J/m^2,1.562900385,2.074,-0.246432,-24.6432
chgnet,Nb,bcc,cohesive_energy,eV/atom,7.07212738,,,
chgnet,Ta,bcc,a0,Angstrom,3.323654152,3.318,0.00170408,0.1704
chgnet,Ta,bcc,B0,GPa,193.5445764,194.2,-0.00337499,-0.3375
chgnet,Ta,bcc,B0_prime,dimensionless,4.65756102,3.17,0.469262,46.9262
chgnet,Ta,bcc,vacancy_formation_energy,eV,1.670397723,2.8759,-0.419174,-41.9174
chgnet,Ta,bcc,gamma_100,J/m^2,2.316467552,2.471,-0.0625384,-6.2538
chgnet,Ta,bcc,gamma_110,J/m^2,1.919415818,2.342,-0.180437,-18.0437
chgnet,Ta,bcc,cohesive_energy,eV/atom,8.229060843,,,
chgnet,V,bcc,a0,Angstrom,2.994458673,2.996,-0.000514462,-0.0514
chgnet,V,bcc,B0,GPa,184.9450925,157,0.177994,17.7994
